=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     ADDER    Jul 29 08:53:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     182 (182) (0 property flop bits)   4 (4)     3394 (3394)   6920   13      1648        950             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[343]   U1062.A1                                        Dangerous
[344]   U1062.A2                                        Dangerous
[345]   U1062.B                                         Dangerous
[346]   U1062.ZN                                        Dangerous
[347]   U1062.i_0                                       Dangerous
[348]   U1062.i_1                                       Dangerous
[349]   U1063.A1                                        Dangerous
[350]   U1063.A2                                        Dangerous
[351]   U1063.Z                                         Dangerous
[352]   U1063.i_18                                      Dangerous
[353]   U1063.i_19                                      Dangerous
[354]   U1063.i_20                                      Dangerous
[355]   U1063.i_21                                      Dangerous
[356]   U1064.I                                         Dangerous
[357]   U1064.ZN                                        Dangerous
[358]   U1065.A1                                        Dangerous
[359]   U1065.A2                                        Dangerous
[360]   U1065.B1                                        Dangerous
[361]   U1065.B2                                        Dangerous
[362]   U1065.ZN                                        Dangerous
[363]   U1065.i_0                                       Dangerous
[364]   U1065.i_1                                       Dangerous
[365]   U1065.i_2                                       Dangerous
[366]   U1066.A1                                        Dangerous
[367]   U1066.A2                                        Dangerous
[368]   U1066.ZN                                        Dangerous
[369]   U1066.i_12                                      Dangerous
[370]   U1067.A1                                        Dangerous
[371]   U1067.A2                                        Dangerous
[372]   U1067.B                                         Dangerous
[373]   U1067.ZN                                        Dangerous
[374]   U1067.i_0                                       Dangerous
[375]   U1067.i_1                                       Dangerous
[376]   U1068.A1                                        Dangerous
[377]   U1068.A2                                        Dangerous
[378]   U1068.ZN                                        Dangerous
[379]   U1068.i_12                                      Dangerous
[380]   U1069.A1                                        Dangerous
[381]   U1069.A2                                        Dangerous
[382]   U1069.ZN                                        Dangerous
[383]   U1069.i_12                                      Dangerous
[384]   U1070.A1                                        Dangerous
[385]   U1070.A2                                        Dangerous
[386]   U1070.ZN                                        Dangerous
[387]   U1070.i_24                                      Dangerous
[388]   U1071.A1                                        Dangerous
[389]   U1071.A2                                        Dangerous
[390]   U1071.B                                         Dangerous
[391]   U1071.ZN                                        Dangerous
[392]   U1071.i_0                                       Dangerous
[393]   U1071.i_1                                       Dangerous
[394]   U1072.A1                                        Dangerous
[395]   U1072.A2                                        Dangerous
[396]   U1072.Z                                         Dangerous
[397]   U1072.i_18                                      Dangerous
[398]   U1072.i_19                                      Dangerous
[399]   U1072.i_20                                      Dangerous
[400]   U1072.i_21                                      Dangerous
[401]   U1073.I                                         Dangerous
[402]   U1073.ZN                                        Dangerous
[403]   U1074.A1                                        Dangerous
[404]   U1074.A2                                        Dangerous
[405]   U1074.B1                                        Dangerous
[406]   U1074.B2                                        Dangerous
[407]   U1074.ZN                                        Dangerous
[408]   U1074.i_0                                       Dangerous
[409]   U1074.i_1                                       Dangerous
[410]   U1074.i_2                                       Dangerous
[411]   U1075.I                                         Dangerous
[412]   U1075.ZN                                        Dangerous
[413]   U1076.A1                                        Dangerous
[414]   U1076.A2                                        Dangerous
[415]   U1076.ZN                                        Dangerous
[416]   U1076.i_12                                      Dangerous
[417]   U1077.A1                                        Dangerous
[418]   U1077.A2                                        Dangerous
[419]   U1077.B                                         Dangerous
[420]   U1077.ZN                                        Dangerous
[421]   U1077.i_0                                       Dangerous
[422]   U1077.i_1                                       Dangerous
[423]   U1078.A1                                        Dangerous
[424]   U1078.A2                                        Dangerous
[425]   U1078.ZN                                        Dangerous
[426]   U1078.i_12                                      Dangerous
[427]   U1079.A1                                        Dangerous
[428]   U1079.A2                                        Dangerous
[429]   U1079.ZN                                        Dangerous
[430]   U1079.i_12                                      Dangerous
[431]   U1080.A1                                        Dangerous
[432]   U1080.A2                                        Dangerous
