=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Oct 23 10:20:53 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]--------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates           | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     3237 (3237) (0 property flop bits)   0 (0)     144107 (144107)   272240   35      54096       34030           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[145]   MULT_STG.U4524.A1                                      Unknown
[146]   MULT_STG.U4524.A2                                      Unknown
[147]   MULT_STG.U4524.Z                                       Unknown
[148]   MULT_STG.U4535.A1                                      Unknown
[149]   MULT_STG.U4535.A2                                      Unknown
[150]   MULT_STG.U4535.Z                                       Unknown
[151]   MULT_STG.U4593.A1                                      Unknown
[152]   MULT_STG.U4593.A2                                      Unknown
[153]   MULT_STG.U4593.Z                                       Unknown
[154]   MULT_STG.U4597.A1                                      Unknown
[155]   MULT_STG.U4597.A2                                      Unknown
[156]   MULT_STG.U4597.Z                                       Unknown
[157]   MULT_STG.U4890.A1                                      Unknown
[158]   MULT_STG.U4890.A2                                      Unknown
[159]   MULT_STG.U4890.Z                                       Unknown
[160]   MULT_STG.U4901.A1                                      Unknown
[161]   MULT_STG.U4901.A2                                      Unknown
[162]   MULT_STG.U4901.Z                                       Unknown
[163]   MULT_STG.U4959.A1                                      Unknown
[164]   MULT_STG.U4959.A2                                      Unknown
[165]   MULT_STG.U4959.Z                                       Unknown
[166]   MULT_STG.U4963.A1                                      Unknown
[167]   MULT_STG.U4963.A2                                      Unknown
[168]   MULT_STG.U4963.Z                                       Unknown
[169]   MULT_STG.U5421.A1                                      Unknown
[170]   MULT_STG.U5421.A2                                      Unknown
[171]   MULT_STG.U5421.Z                                       Unknown
[172]   MULT_STG.U5447.A1                                      Unknown
[173]   MULT_STG.U5447.A2                                      Unknown
[174]   MULT_STG.U5447.Z                                       Unknown
[175]   MULT_STG.U5474.A1                                      Unknown
[176]   MULT_STG.U5474.A2                                      Unknown
[177]   MULT_STG.U5474.Z                                       Unknown
[178]   MULT_STG.U5536.A1                                      Unknown
[179]   MULT_STG.U5536.A2                                      Unknown
[180]   MULT_STG.U5536.Z                                       Unknown
[181]   MULT_STG.U5635.A1                                      Unknown
[182]   MULT_STG.U5635.A2                                      Unknown
[183]   MULT_STG.U5635.Z                                       Unknown
[184]   MULT_STG.U5829.A1                                      Unknown
[185]   MULT_STG.U5829.A2                                      Unknown
[186]   MULT_STG.U5829.Z                                       Unknown
[187]   MULT_STG.U5840.A1                                      Unknown
[188]   MULT_STG.U5840.A2                                      Unknown
[189]   MULT_STG.U5840.Z                                       Unknown
[190]   MULT_STG.U5900.A1                                      Unknown
[191]   MULT_STG.U5900.A2                                      Unknown
[192]   MULT_STG.U5900.Z                                       Unknown
[193]   MULT_STG.U5904.A1                                      Unknown
[194]   MULT_STG.U5904.A2                                      Unknown
[195]   MULT_STG.U5904.Z                                       Unknown
[196]   MULT_STG.U6192.A1                                      Unknown
[197]   MULT_STG.U6192.A2                                      Unknown
[198]   MULT_STG.U6192.Z                                       Unknown
[199]   MULT_STG.U6203.A1                                      Unknown
[200]   MULT_STG.U6203.A2                                      Unknown
[201]   MULT_STG.U6203.Z                                       Unknown
[202]   MULT_STG.U6261.A1                                      Unknown
[203]   MULT_STG.U6261.A2                                      Unknown
[204]   MULT_STG.U6261.Z                                       Unknown
[205]   MULT_STG.U6265.A1                                      Unknown
[206]   MULT_STG.U6265.A2                                      Unknown
[207]   MULT_STG.U6265.Z                                       Unknown
[208]   MULT_STG.U6561.A1                                      Unknown
[209]   MULT_STG.U6561.A2                                      Unknown
[210]   MULT_STG.U6561.Z                                       Unknown
[211]   MULT_STG.U6572.A1                                      Unknown
[212]   MULT_STG.U6572.A2                                      Unknown
[213]   MULT_STG.U6572.Z                                       Unknown
[214]   MULT_STG.U6630.A1                                      Unknown
[215]   MULT_STG.U6630.A2                                      Unknown
[216]   MULT_STG.U6630.Z                                       Unknown
[217]   MULT_STG.U6634.A1                                      Unknown
[218]   MULT_STG.U6634.A2                                      Unknown
[219]   MULT_STG.U6634.Z                                       Unknown
[220]   MULT_STG.U6704.A1                                      Unknown
[221]   MULT_STG.U6704.A2                                      Unknown
[222]   MULT_STG.U6704.Z                                       Unknown
[223]   MULT_STG.U6709.A1                                      Unknown
[224]   MULT_STG.U6709.A2                                      Unknown
[225]   MULT_STG.U6709.Z                                       Unknown
[226]   MULT_STG.U6736.A1                                      Unknown
[227]   MULT_STG.U6736.A2                                      Unknown
[228]   MULT_STG.U6736.Z                                       Unknown
[229]   MULT_STG.U6740.A1                                      Unknown
[230]   MULT_STG.U6740.A2                                      Unknown
[231]   MULT_STG.U6740.Z                                       Unknown
[232]   MULT_STG.U6744.A1                                      Unknown
[233]   MULT_STG.U6744.A2                                      Unknown
[234]   MULT_STG.U6744.Z                                       Unknown
[235]   MULT_STG.U6757.A1                                      Unknown
[236]   MULT_STG.U6757.A2                                      Unknown
[237]   MULT_STG.U6757.Z                                       Unknown
[238]   MULT_STG.U6761.A1                                      Unknown
[239]   MULT_STG.U6761.A2                                      Unknown
[240]   MULT_STG.U6761.Z                                       Unknown
[241]   MULT_STG.U6767.A1                                      Unknown
[242]   MULT_STG.U6767.A2                                      Unknown
[243]   MULT_STG.U6767.Z                                       Unknown
[244]   MULT_STG.U6941.A1                                      Unknown
[245]   MULT_STG.U6941.A2                                      Unknown
[246]   MULT_STG.U6941.Z                                       Unknown
[247]   MULT_STG.U6952.A1                                      Unknown
[248]   MULT_STG.U6952.A2                                      Unknown
[249]   MULT_STG.U6952.Z                                       Unknown
[250]   MULT_STG.U7010.A1                                      Unknown
[251]   MULT_STG.U7010.A2                                      Unknown
[252]   MULT_STG.U7010.Z                                       Unknown
[253]   MULT_STG.U7014.A1                                      Unknown
[254]   MULT_STG.U7014.A2                                      Unknown
[255]   MULT_STG.U7014.Z                                       Unknown
[256]   MULT_STG.U7301.A1                                      Unknown
[257]   MULT_STG.U7301.A2                                      Unknown
[258]   MULT_STG.U7301.Z                                       Unknown
[259]   MULT_STG.U7312.A1                                      Unknown
[260]   MULT_STG.U7312.A2                                      Unknown
[261]   MULT_STG.U7312.Z                                       Unknown
[262]   MULT_STG.U7370.A1                                      Unknown
[263]   MULT_STG.U7370.A2                                      Unknown
[264]   MULT_STG.U7370.Z                                       Unknown
[265]   MULT_STG.U7374.A1                                      Unknown
[266]   MULT_STG.U7374.A2                                      Unknown
[267]   MULT_STG.U7374.Z                                       Unknown
[268]   MULT_STG.U7665.A1                                      Unknown
[269]   MULT_STG.U7665.A2                                      Unknown
[270]   MULT_STG.U7665.Z                                       Unknown
[271]   MULT_STG.U7676.A1                                      Unknown
[272]   MULT_STG.U7676.A2                                      Unknown
[273]   MULT_STG.U7676.Z                                       Unknown
[274]   MULT_STG.U7734.A1                                      Unknown
[275]   MULT_STG.U7734.A2                                      Unknown
[276]   MULT_STG.U7734.Z                                       Unknown
[277]   MULT_STG.U7738.A1                                      Unknown
[278]   MULT_STG.U7738.A2                                      Unknown
[279]   MULT_STG.U7738.Z                                       Unknown
[280]   MULT_STG.U8221.A1                                      Unknown
[281]   MULT_STG.U8221.A2                                      Unknown
[282]   MULT_STG.U8221.Z                                       Unknown
[283]   MULT_STG.U8248.A1                                      Unknown
[284]   MULT_STG.U8248.A2                                      Unknown
[285]   MULT_STG.U8248.Z                                       Unknown
[286]   MULT_STG.U8275.A1                                      Unknown
[287]   MULT_STG.U8275.A2                                      Unknown
[288]   MULT_STG.U8275.Z                                       Unknown
[289]   MULT_STG.U8337.A1                                      Unknown
[290]   MULT_STG.U8337.A2                                      Unknown
[291]   MULT_STG.U8337.Z                                       Unknown
[292]   MULT_STG.U8436.A1                                      Unknown
[293]   MULT_STG.U8436.A2                                      Unknown
[294]   MULT_STG.U8436.Z                                       Unknown
[295]   MULT_STG.U8910.A1                                      Unknown
[296]   MULT_STG.U8910.A2                                      Unknown
[297]   MULT_STG.U8910.Z                                       Unknown
[298]   MULT_STG.U8937.A1                                      Unknown
[299]   MULT_STG.U8937.A2                                      Unknown
[300]   MULT_STG.U8937.Z                                       Unknown
[301]   MULT_STG.U8964.A1                                      Unknown
[302]   MULT_STG.U8964.A2                                      Unknown
[303]   MULT_STG.U8964.Z                                       Unknown
[304]   MULT_STG.U9026.A1                                      Unknown
[305]   MULT_STG.U9026.A2                                      Unknown
[306]   MULT_STG.U9026.Z                                       Unknown
[307]   MULT_STG.U9125.A1                                      Unknown
[308]   MULT_STG.U9125.A2                                      Unknown
[309]   MULT_STG.U9125.Z                                       Unknown
[310]   MULT_STG.U9267.A1                                      Unknown
[311]   MULT_STG.U9267.A2                                      Unknown
[312]   MULT_STG.U9267.Z                                       Unknown
[313]   MULT_STG.U9277.A1                                      Unknown
[314]   MULT_STG.U9277.A2                                      Unknown
[315]   MULT_STG.U9277.Z                                       Unknown
[316]   MULT_STG.U9301.A1                                      Unknown
[317]   MULT_STG.U9301.A2                                      Unknown
