Version("1.1")
Date("09/26/25 19:19:17")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: V-2023.12 (64-bit, Nov 19 2023)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:163601}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.state_DSP[1:0]";
            3 "DSP.dsp_we_word[7:0]";
            4 "DSP.dsp_sc_read_addr[27:0]";
            5 "DSP.dsp_to_sc[7:0]";
            6 "DSP.dsp_sc_data_write_wire[255:0]";
            7 "DSP.dsp_sc_write_addr[13:0]";
            8 "DSP.dsp_sci_we[3:0]";
            9 "DSP.dsp_sci_req[3:0]";
        }
    }
}

FaultList{

 Total              ND               DD           PD             NC             NO Scope
------ --------------- ---------------- ------------ -------------- -------------- -----
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15753
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15751
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15744
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15742
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15740
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15736
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15697
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15695
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15693
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15691
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15689
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15687
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15685
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15678
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15676
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15674
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15672
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15670
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15661
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15659
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15631
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15627
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15625
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15623
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15622
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15620
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15616
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15614
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15559
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15557
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15555
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15553
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15549
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15544
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15541
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15539
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15181
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15179
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15091
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15089
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15088
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15087
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15086
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15085
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15084
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15072
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15064
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15063
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15062
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15061
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15060
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15059
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15058
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15057
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15052
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15051
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15049
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15047
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15045
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15043
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15041
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15039
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15037
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15035
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15033
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15031
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15029
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15027
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15025
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15023
     8     6  (75.00%)      2  (25.00%)  0   (0.00%)    0   (0.00%)    0   (0.00%) -U15021
