Version("1.1")
Date("10/30/25 23:25:57")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:256933}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[95:0]";
            2 "DSP.dsp_taken_branch[2:0]";
            3 "DSP.dsp_except_condition[2:0]";
            4 "DSP.busy_dsp[2:0]";
            5 "DSP.dsp_we_word[11:0]";
            6 "DSP.dsp_sc_read_addr[83:0]";
            7 "DSP.dsp_to_sc[23:0]";
            8 "DSP.dsp_sc_data_write_wire[383:0]";
            9 "DSP.dsp_sc_write_addr[41:0]";
            10 "DSP.dsp_sci_we[11:0]";
            11 "DSP.dsp_sci_req[11:0]";
            12 "DSP.state_DSP[5:0]";
        }
    }
}

FaultList{

 Total              ND               DD            PD             NC             NO Scope
------ --------------- ---------------- ------------- -------------- -------------- -----
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -RS1_Data_IE_lat_reg_88_
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -RS1_Data_IE_lat_reg_87_
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -RS1_Data_IE_lat_reg_86_
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -RS1_Data_IE_lat_reg_82_
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -RS1_Data_IE_lat_reg_81_
     8     6  (75.00%)      2  (25.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -RS1_Data_IE_lat_reg_80_
     8     6  (75.00%)      1  (12.50%)   0   (0.00%)    0   (0.00%)    1  (12.50%) -U28728
     8     6  (75.00%)      1  (12.50%)   0   (0.00%)    0   (0.00%)    1  (12.50%) -U28642
     8     6  (75.00%)      1  (12.50%)   0   (0.00%)    0   (0.00%)    1  (12.50%) -U27913
     8     6  (75.00%)      1  (12.50%)   0   (0.00%)    0   (0.00%)    1  (12.50%) -U27684
     8     6  (75.00%)      1  (12.50%)   0   (0.00%)    0   (0.00%)    1  (12.50%) -U27029
     8     6  (75.00%)      1  (12.50%)   0   (0.00%)    0   (0.00%)    1  (12.50%) -U27023
     8     6  (75.00%)      1  (12.50%)   0   (0.00%)    0   (0.00%)    1  (12.50%) -U26892
     8     6  (75.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    2  (25.00%) -U28123
     8     6  (75.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    2  (25.00%) -U27564
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28812
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28805
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28070
