=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      May 26 09:58:51 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1081 (1081) (0 property flop bits)   0 (0)     43353 (44457)   100500   35      24390       15667           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             1418   0           52053
[2]     SA1          0             2466   0           51005
[3]     Total        0             3884   0           103058


********************************************************************************************

---[ <SA0> ]---------------------------------------------------------------------
[195]   U4940.B1                                                  Unknown
[196]   U4940.X                                                   Unknown
[197]   U4946.A1                                                  Unknown
[198]   U4946.A2                                                  Unknown
[199]   U4946.B1                                                  Unknown
[200]   U4946.X                                                   Unknown
[201]   U4952.A1                                                  Unknown
[202]   U4952.A2                                                  Unknown
[203]   U4952.B1                                                  Unknown
[204]   U4952.X                                                   Unknown
[205]   U4958.A1                                                  Unknown
[206]   U4958.A2                                                  Unknown
[207]   U4958.B1                                                  Unknown
[208]   U4958.X                                                   Unknown
[209]   U4964.A1                                                  Unknown
[210]   U4964.A2                                                  Unknown
[211]   U4964.B1                                                  Unknown
[212]   U4964.X                                                   Unknown
[213]   U5034.A1                                                  Unknown
[214]   U5034.A2                                                  Unknown
[215]   U5034.B1                                                  Unknown
[216]   U5034.X                                                   Unknown
[217]   U5119.A1                                                  Unknown
[218]   U5119.A2                                                  Unknown
[219]   U5119.B1                                                  Unknown
[220]   U5119.X                                                   Unknown
[221]   U5125.A1                                                  Unknown
[222]   U5125.A2                                                  Unknown
[223]   U5125.B1                                                  Unknown
[224]   U5125.X                                                   Unknown
[225]   U5464.A1                                                  Unknown
[226]   U5464.A2                                                  Unknown
[227]   U5464.B1                                                  Unknown
[228]   U5464.X                                                   Unknown
[229]   U5469.A1                                                  Unknown
[230]   U5469.A2                                                  Unknown
[231]   U5469.B1                                                  Unknown
[232]   U5469.X                                                   Unknown
[233]   U5474.A1                                                  Unknown
[234]   U5474.A2                                                  Unknown
[235]   U5474.B1                                                  Unknown
[236]   U5474.X                                                   Unknown
[237]   U5479.A1                                                  Unknown
[238]   U5479.A2                                                  Unknown
[239]   U5479.B1                                                  Unknown
[240]   U5479.X                                                   Unknown
[241]   U5484.A1                                                  Unknown
[242]   U5484.A2                                                  Unknown
[243]   U5484.B1                                                  Unknown
[244]   U5484.X                                                   Unknown
[245]   U5489.A1                                                  Unknown
[246]   U5489.A2                                                  Unknown
[247]   U5489.B1                                                  Unknown
[248]   U5489.X                                                   Unknown
[249]   U5494.A1                                                  Unknown
[250]   U5494.A2                                                  Unknown
[251]   U5494.B1                                                  Unknown
[252]   U5494.X                                                   Unknown
[253]   U5499.A1                                                  Unknown
[254]   U5499.A2                                                  Unknown
[255]   U5499.B1                                                  Unknown
[256]   U5499.X                                                   Unknown
[257]   U5621.A1                                                  Unknown
[258]   U5621.A2                                                  Unknown
[259]   U5621.B1                                                  Unknown
[260]   U5621.X                                                   Unknown
[261]   U5628.A1                                                  Unknown
[262]   U5628.A2                                                  Unknown
[263]   U5628.B1                                                  Unknown
