Version("1.1")
Date("11/07/25 12:27:12")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:48176}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.dsp_we_word[1:0]";
            3 "DSP.dsp_sc_read_addr[27:0]";
            4 "DSP.dsp_to_sc[7:0]";
            5 "DSP.dsp_sc_data_write_wire[63:0]";
            6 "DSP.dsp_sc_write_addr[13:0]";
            7 "DSP.dsp_sci_we[3:0]";
            8 "DSP.dsp_sci_req[3:0]";
            9 "DSP.state_DSP[1:0]";
        }
    }
}

FaultList{

Total              ND              DD             NC              NO Scope
----- --------------- --------------- -------------- --------------- -----
82242 17337  (21.08%) 36758  (44.69%) 8767  (10.66%) 19380  (23.56%) DSP
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_20_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_19_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_18_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_17_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_16_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_15_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_14_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_13_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_12_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_11_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_10_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_9_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_8_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_7_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_6_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_5_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_4_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_3_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_2_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_1_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -dsp_sc_data_read_mask_reg_0_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -MVSIZE_READ_MASK_reg_3_
