=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     MULTIPLIER   Jul 29 06:40:57 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]---------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates         | Nets  | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     224 (224) (0 property flop bits)   0 (0)     26024 (26024)   42654   11      7574        4386            0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[241]   U1039.A1                                  Dangerous
[242]   U1039.A2                                  Dangerous
[243]   U1039.B1                                  Dangerous
[244]   U1039.B2                                  Dangerous
[245]   U1039.ZN                                  Dangerous
[246]   U1039.i_0                                 Dangerous
[247]   U1039.i_1                                 Dangerous
[248]   U1039.i_2                                 Dangerous
[249]   U1040.I                                   Dangerous
[250]   U1040.ZN                                  Dangerous
[251]   U1041.A1                                  Dangerous
[252]   U1041.A2                                  Dangerous
[253]   U1041.B1                                  Dangerous
[254]   U1041.B2                                  Dangerous
[255]   U1041.ZN                                  Dangerous
[256]   U1041.i_0                                 Dangerous
[257]   U1041.i_1                                 Dangerous
[258]   U1041.i_2                                 Dangerous
[259]   U1042.I                                   Dangerous
[260]   U1042.ZN                                  Dangerous
[261]   U1043.A1                                  Dangerous
[262]   U1043.A2                                  Dangerous
[263]   U1043.B1                                  Dangerous
[264]   U1043.B2                                  Dangerous
[265]   U1043.ZN                                  Dangerous
[266]   U1043.i_0                                 Dangerous
[267]   U1043.i_1                                 Dangerous
[268]   U1043.i_2                                 Dangerous
[269]   U1044.I                                   Dangerous
[270]   U1044.ZN                                  Dangerous
[271]   U1045.A1                                  Dangerous
[272]   U1045.A2                                  Dangerous
[273]   U1045.B1                                  Dangerous
[274]   U1045.B2                                  Dangerous
[275]   U1045.ZN                                  Dangerous
