=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     COMPARATOR   Jul 29 09:29:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]----------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                          | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     78 (78) (0 property flop bits)   0 (0)     1041 (1041)   2255   11      592         312             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[294]   U312.ZN                                   Dangerous
[295]   U313.I                                    Dangerous
[296]   U313.ZN                                   Dangerous
[297]   U314.I                                    Dangerous
[298]   U314.ZN                                   Dangerous
[299]   U315.A1                                   Dangerous
[300]   U315.A2                                   Dangerous
[301]   U315.ZN                                   Dangerous
[302]   U315.i_24                                 Dangerous
[303]   U316.A1                                   Dangerous
[304]   U316.A2                                   Dangerous
[305]   U316.B1                                   Dangerous
[306]   U316.B2                                   Dangerous
[307]   U316.ZN                                   Dangerous
[308]   U316.i_0                                  Dangerous
[309]   U316.i_1                                  Dangerous
[310]   U316.i_2                                  Dangerous
[311]   U317.A1                                   Dangerous
[312]   U317.A2                                   Dangerous
[313]   U317.B1                                   Dangerous
[314]   U317.B2                                   Dangerous
[315]   U317.ZN                                   Dangerous
[316]   U317.i_0                                  Dangerous
[317]   U317.i_1                                  Dangerous
[318]   U317.i_2                                  Dangerous
[319]   U318.I                                    Dangerous
[320]   U318.ZN                                   Dangerous
[321]   U319.A1                                   Dangerous
[322]   U319.A2                                   Dangerous
[323]   U319.B1                                   Dangerous
[324]   U319.B2                                   Dangerous
[325]   U319.ZN                                   Dangerous
[326]   U319.i_0                                  Dangerous
[327]   U319.i_1                                  Dangerous
[328]   U319.i_2                                  Dangerous
[329]   U320.I                                    Dangerous
[330]   U320.ZN                                   Dangerous
[331]   U321.A1                                   Dangerous
[332]   U321.A2                                   Dangerous
[333]   U321.B1                                   Dangerous
[334]   U321.B2                                   Dangerous
[335]   U321.ZN                                   Dangerous
[336]   U321.i_0                                  Dangerous
[337]   U321.i_1                                  Dangerous
[338]   U321.i_2                                  Dangerous
[339]   U322.I                                    Dangerous
[340]   U322.ZN                                   Dangerous
[341]   U323.A1                                   Dangerous
[342]   U323.A2                                   Dangerous
[343]   U323.B1                                   Dangerous
[344]   U323.B2                                   Dangerous
[345]   U323.ZN                                   Dangerous
[346]   U323.i_0                                  Dangerous
[347]   U323.i_1                                  Dangerous
[348]   U323.i_2                                  Dangerous
[349]   U324.I                                    Dangerous
[350]   U324.ZN                                   Dangerous
[351]   U325.A1                                   Dangerous
