 
****************************************
Report : resources
Design : DSP_Unit_THREAD_POOL_SIZE6_accl_en1_replicate_accl_en1_multithreaded_accl_en0_SPM_NUM4_Addr_Width14_SIMD4_ACCL_NUM6_FU_NUM6_TPS_CEIL3_TPS_BUF_CEIL3_SPM_ADDR_WID3_SIMD_BITS2_Data_Width32_SIMD_Width128
Version: V-2023.12
Date   : Wed Sep 24 15:32:58 2025
****************************************


Resource Report for this hierarchy in file
        /home/g.vilarde/Klessydra/pulpino-klessydra/ips/FU_breakdown/DSP/RTL-DSP_Unit_syn.vhd
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
| lt_x_92        | DW_cmp         | width=19   | lt_718_I84 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_93        | DW_cmp         | width=19   | lt_718_I85 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_94        | DW_cmp         | width=19   | lt_718_I86 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_95        | DW_cmp         | width=19   | lt_718_I87 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_96        | DW_cmp         | width=19   | lt_718_I88 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_97        | DW_cmp         | width=19   | lt_718_I89 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_98        | DW_cmp         | width=19   | lt_718_I90 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_99        | DW_cmp         | width=19   | lt_718_I91 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_100       | DW_cmp         | width=19   | lt_718_I92 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_101       | DW_cmp         | width=19   | lt_718_I93 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_102       | DW_cmp         | width=19   | lt_718_I94 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_103       | DW_cmp         | width=19   | lt_718_I95 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_104       | DW_cmp         | width=19   | lt_718_I96 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_105       | DW_cmp         | width=19   | lt_718_I97 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_106       | DW_cmp         | width=19   | lt_718_I98 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_107       | DW_cmp         | width=19   | lt_718_I99 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_108       | DW_cmp         | width=19   | lt_718_I100 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_109       | DW_cmp         | width=19   | lt_718_I101 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_110       | DW_cmp         | width=19   | lt_718_I102 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_111       | DW_cmp         | width=19   | lt_718_I103 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_112       | DW_cmp         | width=19   | lt_718_I104 (RTL-DSP_Unit_syn.vhd:718) |
| lt_x_113       | DW_cmp         | width=19   | lt_718_I105 (RTL-DSP_Unit_syn.vhd:718) |
