=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Jun 05 05:29:06 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1854 (1854) (0 property flop bits)   0 (0)     78854 (80805)   182896   35      44206       28722           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             2048   0           96452
[2]     SA1          0             3978   0           94522
[3]     Total        0             6026   0           190974


********************************************************************************************

---[ <SA0> ]----------------------------------------------------------------------
[182]   ACCUM_STG.U953.A2                                          Unknown
[183]   ACCUM_STG.U953.B1                                          Unknown
[184]   ACCUM_STG.U953.X                                           Unknown
[185]   ACCUM_STG.U968.A1                                          Unknown
[186]   ACCUM_STG.U968.A2                                          Unknown
[187]   ACCUM_STG.U968.B1                                          Unknown
[188]   ACCUM_STG.U968.X                                           Unknown
[189]   ACCUM_STG.U982.A1                                          Unknown
[190]   ACCUM_STG.U982.A2                                          Unknown
[191]   ACCUM_STG.U982.B1                                          Unknown
[192]   ACCUM_STG.U982.X                                           Unknown
[193]   ACCUM_STG.U996.A1                                          Unknown
[194]   ACCUM_STG.U996.A2                                          Unknown
[195]   ACCUM_STG.U996.B1                                          Unknown
[196]   ACCUM_STG.U996.X                                           Unknown
[197]   ACCUM_STG.U1015.A1                                         Unknown
[198]   ACCUM_STG.U1015.A2                                         Unknown
[199]   ACCUM_STG.U1015.B1                                         Unknown
[200]   ACCUM_STG.U1015.X                                          Unknown
[201]   ACCUM_STG.U1079.A1                                         Unknown
[202]   ACCUM_STG.U1079.A2                                         Unknown
[203]   ACCUM_STG.U1079.B1                                         Unknown
[204]   ACCUM_STG.U1079.X                                          Unknown
[205]   ACCUM_STG.U1093.A1                                         Unknown
[206]   ACCUM_STG.U1093.A2                                         Unknown
[207]   ACCUM_STG.U1093.B1                                         Unknown
[208]   ACCUM_STG.U1093.X                                          Unknown
[209]   ACCUM_STG.U1109.A1                                         Unknown
[210]   ACCUM_STG.U1109.A2                                         Unknown
[211]   ACCUM_STG.U1109.B1                                         Unknown
[212]   ACCUM_STG.U1109.X                                          Unknown
[213]   ACCUM_STG.U1123.A1                                         Unknown
[214]   ACCUM_STG.U1123.A2                                         Unknown
[215]   ACCUM_STG.U1123.B1                                         Unknown
[216]   ACCUM_STG.U1123.X                                          Unknown
[217]   ACCUM_STG.U1138.A1                                         Unknown
[218]   ACCUM_STG.U1138.A2                                         Unknown
[219]   ACCUM_STG.U1138.B1                                         Unknown
[220]   ACCUM_STG.U1138.X                                          Unknown
[221]   ACCUM_STG.U1152.A1                                         Unknown
[222]   ACCUM_STG.U1152.A2                                         Unknown
[223]   ACCUM_STG.U1152.B1                                         Unknown
[224]   ACCUM_STG.U1152.X                                          Unknown
[225]   U5642.A1                                                   Unknown
[226]   U5642.A2                                                   Unknown
[227]   U5642.B1                                                   Unknown
[228]   U5642.X                                                    Unknown
[229]   U6186.A1                                                   Unknown
[230]   U6186.A2                                                   Unknown
[231]   U6186.B1                                                   Unknown
[232]   U6186.X                                                    Unknown
[233]   U6195.A1                                                   Unknown
[234]   U6195.A2                                                   Unknown
[235]   U6195.B1                                                   Unknown
[236]   U6195.X                                                    Unknown
[237]   U7683.A1                                                   Unknown
[238]   U7683.A2                                                   Unknown
[239]   U7683.B1                                                   Unknown
[240]   U7683.X                                                    Unknown
[241]   U8434.A1                                                   Unknown
[242]   U8434.A2                                                   Unknown
[243]   U8434.B1                                                   Unknown
[244]   U8434.X                                                    Unknown
[245]   U8440.A1                                                   Unknown
[246]   U8440.A2                                                   Unknown
[247]   U8440.B1                                                   Unknown
[248]   U8440.X                                                    Unknown
[249]   U8446.A1                                                   Unknown
[250]   U8446.A2                                                   Unknown
[251]   U8446.B1                                                   Unknown
[252]   U8446.X                                                    Unknown
[253]   U8452.A1                                                   Unknown
[254]   U8452.A2                                                   Unknown
[255]   U8452.B1                                                   Unknown
[256]   U8452.X                                                    Unknown
[257]   U8458.A1                                                   Unknown
[258]   U8458.A2                                                   Unknown
[259]   U8458.B1                                                   Unknown
[260]   U8458.X                                                    Unknown
[261]   U8464.A1                                                   Unknown
[262]   U8464.A2                                                   Unknown
[263]   U8464.B1                                                   Unknown
[264]   U8464.X                                                    Unknown
[265]   U8470.A1                                                   Unknown
[266]   U8470.A2                                                   Unknown
[267]   U8470.B1                                                   Unknown
[268]   U8470.X                                                    Unknown
[269]   U8476.A1                                                   Unknown
[270]   U8476.A2                                                   Unknown
[271]   U8476.B1                                                   Unknown
[272]   U8476.X                                                    Unknown
[273]   U10596.A1                                                  Unknown
[274]   U10596.A2                                                  Unknown
[275]   U10596.B1                                                  Unknown
[276]   U10596.X                                                   Unknown
[277]   U10613.A1                                                  Unknown
[278]   U10613.A2                                                  Unknown
[279]   U10613.B1                                                  Unknown
[280]   U10613.X                                                   Unknown
[281]   U10616.A1                                                  Unknown
[282]   U10616.A2                                                  Unknown
[283]   U10616.B1                                                  Unknown
[284]   U10616.X                                                   Unknown
[285]   U10667.A1                                                  Unknown
[286]   U10667.A2                                                  Unknown
[287]   U10667.B1                                                  Unknown
[288]   U10667.X                                                   Unknown
[289]   U10676.A1                                                  Safe
[290]   U10676.A2                                                  Safe
[291]   U10676.B1                                                  Safe
[292]   U10676.X                                                   Safe
[293]   U10680.A1                                                  Safe
[294]   U10680.A2                                                  Safe
[295]   U10680.B1                                                  Safe
[296]   U10680.X                                                   Safe
[297]   U10684.A1                                                  Safe
[298]   U10684.A2                                                  Safe
[299]   U10684.B1                                                  Safe
[300]   U10684.X                                                   Safe
[301]   U10689.A1                                                  Safe
[302]   U10689.A2                                                  Safe
[303]   U10689.B1                                                  Safe
[304]   U10689.X                                                   Safe
[305]   U10694.A1                                                  Safe
[306]   U10694.A2                                                  Safe
[307]   U10694.B1                                                  Safe
[308]   U10694.X                                                   Safe
[309]   U10699.A1                                                  Safe
[310]   U10699.A2                                                  Safe
[311]   U10699.B1                                                  Safe
[312]   U10699.X                                                   Safe
[313]   U10703.A1                                                  Safe
[314]   U10703.A2                                                  Safe
[315]   U10703.B1                                                  Safe
[316]   U10703.X                                                   Safe
[317]   U10707.A1                                                  Safe
[318]   U10707.A2                                                  Safe
[319]   U10707.B1                                                  Safe
[320]   U10707.X                                                   Safe
[321]   U10713.A1                                                  Safe
[322]   U10713.A2                                                  Safe
[323]   U10713.B1                                                  Safe
[324]   U10713.X                                                   Safe
[325]   U10717.A1                                                  Safe
[326]   U10717.A2                                                  Safe
[327]   U10717.B1                                                  Safe
[328]   U10717.X                                                   Safe
[329]   U10721.A1                                                  Safe
[330]   U10721.A2                                                  Safe
[331]   U10721.B1                                                  Safe
[332]   U10721.X                                                   Safe
[333]   U10726.A1                                                  Safe
[334]   U10726.A2                                                  Safe
[335]   U10726.B1                                                  Safe
[336]   U10726.X                                                   Safe
[337]   U11037.A1                                                  Unknown
[338]   U11037.A2                                                  Unknown
[339]   U11037.B1                                                  Unknown
[340]   U11037.X                                                   Unknown
[341]   U11136.A1                                                  Unknown
[342]   U11136.A2                                                  Unknown
[343]   U11136.B1                                                  Unknown
[344]   U11136.X                                                   Unknown
[345]   U11148.A1                                                  Unknown
[346]   U11148.A2                                                  Unknown
[347]   U11148.B1                                                  Unknown
[348]   U11148.X                                                   Unknown
[349]   U11149.A1                                                  Unknown
[350]   U11149.A2                                                  Unknown
[351]   U11149.B1                                                  Unknown
[352]   U11149.X                                                   Unknown
[353]   U11150.A1                                                  Unknown
[354]   U11150.A2                                                  Unknown
[355]   U11150.B1                                                  Unknown
[356]   U11150.X                                                   Unknown
[357]   U11151.A1                                                  Unknown
[358]   U11151.A2                                                  Unknown
[359]   U11151.B1                                                  Unknown
[360]   U11151.X                                                   Unknown
